Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
12/12/2020,915,21,79,110,215,178,135,124,90,45,18,0,467,445,3,335,33,156,261,27,103,0,0,0,0,2,5,5,9,0,10,11,0,3,2,9,7,0,0,1,2,5,7,18,18,17,11,0,37,42,0,16,5,39,15,3,1
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
03/03/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
03/04/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
03/05/2020,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,3,3,0,0,0,3,3,0,0
03/07/2020,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,2,0,0
03/08/2020,3,0,7,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,3,4,0,2,0,4,1,0,0
03/10/2020,11,0,5,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,3,0,0,0,4,0,1,0
03/11/2020,13,0,7,0,4,1,3,3,2,0,0,0,4,9,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,4,3,0,1,0,5,1,0,0
03/13/2020,32,0,8,0,4,13,5,5,5,0,0,0,8,24,0,4,2,5,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,3,5,0,1,0,3,4,0,0
03/14/2020,31,0,9,0,9,2,7,6,3,3,1,0,18,13,0,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,7,2,0,2,0,4,3,0,0
05/18/2021,286,6,33,69,61,47,37,37,19,8,8,0,163,123,0,58,4,127,49,5,43,0,0,0,0,2,1,3,0,0,4,2,0,3,0,2,1,0,0,2,2,6,4,5,9,2,3,0,16,17,0,5,0,23,3,1,1
06/26/2021,20,0,4,3,4,8,3,0,2,0,0,0,11,9,0,6,1,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,1,0,2,0,2,0,0,0
08/25/2020,413,4,29,52,121,75,69,50,27,9,9,1,224,186,3,189,8,66,103,17,30,0,0,0,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,0,4,3,3,8,6,3,2,0,13,16,0,7,0,11,8,2,1
07/11/2021,69,2,7,18,13,15,8,11,1,3,0,0,34,35,0,10,2,14,23,3,17,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,3,0,0,1,0,0,4,3,0,0,0,5,1,1,0
02/09/2021,414,8,35,49,112,75,60,52,39,13,14,0,213,197,4,105,17,109,118,17,48,0,0,0,0,2,1,1,4,0,5,3,0,2,1,3,2,0,0,0,1,3,3,9,6,8,5,0,13,22,0,10,0,14,9,2,0
03/13/2021,255,2,16,29,64,61,43,31,20,4,3,0,130,124,1,67,3,50,89,23,23,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,2,3,3,5,1,0,8,8,0,3,0,8,4,1,0
03/16/2020,78,1,14,1,14,21,18,12,7,4,1,0,37,41,0,8,6,26,32,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,3,2,1,1,0,4,10,0,1,0,10,3,0,0
05/09/2020,520,53,97,33,104,100,98,90,54,28,13,0,264,255,1,284,14,100,48,11,63,0,1,0,4,6,6,11,25,0,24,29,0,26,3,15,8,1,0,1,8,11,12,19,17,18,11,0,50,47,0,45,1,31,14,3,3
02/12/2021,357,13,28,42,106,68,48,25,40,20,8,0,168,189,0,99,17,69,117,25,30,0,0,1,2,2,2,3,3,0,5,8,0,3,0,4,6,0,0,1,2,2,4,4,8,5,2,0,12,16,0,4,1,14,6,3,0
06/30/2021,51,0,6,11,12,10,9,3,3,3,0,0,20,31,0,15,2,12,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,5,0,1,0,5,0,0,0
08/19/2021,548,5,33,84,134,157,84,39,26,17,7,0,290,257,1,108,18,122,159,19,122,0,0,0,0,0,0,1,4,0,4,1,0,0,1,3,1,0,0,0,2,9,2,9,3,7,1,0,22,11,0,4,1,18,8,2,0
06/09/2021,64,4,6,11,14,7,12,10,4,3,3,0,33,30,1,17,2,22,15,3,5,0,0,0,0,1,1,0,2,0,2,2,0,0,0,3,1,0,0,0,1,1,0,2,1,0,1,0,2,4,0,4,0,1,1,0,0
11/19/2020,2169,17,119,250,526,458,358,278,187,83,29,0,1115,1047,7,890,58,356,499,82,284,0,0,0,0,0,7,5,5,0,7,10,0,3,1,5,7,1,0,4,4,10,17,20,21,26,17,0,56,63,0,37,5,40,30,5,2
11/27/2020,1255,23,136,131,257,221,206,179,138,76,47,0,658,593,4,425,45,279,317,54,135,0,0,0,0,3,4,7,9,0,9,14,0,7,2,11,3,0,0,3,5,7,18,19,32,30,22,0,61,75,0,40,4,58,30,2,2
02/10/2021,368,11,48,51,101,70,43,44,28,18,13,0,172,196,0,86,13,94,118,17,40,0,0,0,1,1,2,2,5,0,5,6,0,3,1,4,3,0,0,1,6,6,4,10,9,2,10,0,18,30,0,16,1,20,9,1,1
12/23/2020,1222,21,95,140,289,222,193,166,118,62,32,0,634,582,6,472,52,248,277,50,123,0,0,0,2,2,5,5,7,0,6,15,0,8,1,5,7,0,0,1,3,4,4,15,20,26,22,0,43,52,0,23,7,35,26,3,1
02/04/2021,537,9,51,68,138,121,68,64,45,21,12,0,268,266,3,159,22,117,160,23,56,0,0,0,0,1,1,2,5,0,5,4,0,1,1,4,3,0,0,1,1,7,4,13,14,9,2,0,30,21,0,14,2,23,11,1,0
10/30/2020,1872,4,84,233,474,384,289,241,151,65,35,0,953,914,5,790,42,308,462,68,202,0,0,0,0,2,1,1,0,0,2,2,0,0,0,3,1,0,0,2,7,13,8,9,12,15,18,0,41,43,0,23,2,34,19,4,2
07/22/2020,365,4,34,39,123,82,56,28,22,13,2,0,188,172,5,137,9,82,103,10,24,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,3,3,7,5,1,6,7,2,0,19,15,0,12,1,15,4,1,1
02/05/2021,403,8,44,49,101,73,52,54,36,22,16,0,205,196,2,125,25,84,101,20,48,0,0,1,0,1,3,0,3,0,4,4,0,3,0,4,1,0,0,1,2,5,6,5,8,8,9,0,26,18,0,12,2,22,7,1,0
04/05/2020,292,26,147,3,31,50,49,73,42,20,24,0,127,165,0,84,11,116,57,8,16,0,0,0,2,5,2,10,7,0,8,18,0,5,0,18,3,0,0,0,3,11,24,36,26,24,23,0,56,91,0,31,10,82,17,6,1
07/13/2021,103,2,11,15,22,32,10,10,6,6,2,0,49,51,3,23,2,34,25,3,16,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,4,2,1,1,0,3,0,0,7,4,0,3,1,6,1,0,0
11/06/2020,2797,10,124,342,804,573,412,336,217,71,42,0,1479,1312,6,1135,85,450,725,109,293,0,0,1,1,2,3,0,3,0,4,6,0,4,0,5,1,0,0,5,8,7,16,34,14,21,19,0,62,62,0,38,3,52,22,7,2
11/10/2020,3356,14,140,397,819,689,546,438,286,126,55,0,1720,1628,8,1410,104,579,820,123,320,0,0,0,1,0,1,7,5,0,10,4,0,3,0,8,3,0,0,0,4,12,15,24,32,32,21,0,61,79,0,48,2,52,29,8,1
05/17/2021,347,6,48,58,84,74,44,39,33,8,7,0,197,150,0,70,12,155,52,14,44,0,0,0,0,0,1,3,2,0,2,4,0,3,0,3,0,0,0,2,7,5,7,9,8,5,5,0,20,28,0,6,0,38,1,0,3
06/17/2021,35,2,6,7,7,10,3,3,4,1,0,0,17,18,0,12,1,8,10,2,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,3,1,0,0,0,5,1,0,4,0,1,1,0,0
07/13/2020,337,3,33,36,99,69,45,35,31,7,15,0,194,142,1,130,8,96,72,6,25,0,1,0,0,0,1,0,1,0,1,2,0,1,0,1,1,0,0,2,2,4,3,8,5,6,3,0,16,17,0,11,2,12,6,1,1
02/28/2021,149,3,18,16,34,34,22,17,19,5,2,0,68,79,2,33,14,31,54,3,14,0,0,0,0,0,1,1,1,0,0,3,0,1,0,2,0,0,0,0,1,3,0,0,10,0,4,0,11,7,0,3,0,9,5,0,1
